geo_code,row_count,dataset_count,total_dataset_count,missing_dataset_count,first_observation_year,last_observation_year,observation_year_count,year_span,pillar_count,missing_pillar_count,missing_pillars,missing_adaptation_capacity_flag,missing_climate_signal_flag,missing_observed_stress_flag,missing_responsibility_context_flag,partial_dataset_coverage_flag,data_desert_flag,monitoring_network_missing_flag,coverage_flag,coverage_caveat,datasets,missing_datasets,pillars
KI,660,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
MH,665,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
FM,667,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
NC,673,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
PG,673,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
SB,678,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
FJ,706,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
VU,709,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
TV,721,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
TO,730,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
WS,734,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
NR,742,9,9,0,1850,2026,177,177,4,0,,False,False,False,False,False,False,False,complete_dataset_coverage,"High row counts can reflect long time series rather than better spatial coverage; compare dataset counts, geography counts, missing fields, and year spans before interpreting official data coverage. Coverage flags describe official data availability only; they are separate from climate, adaptation, or responsibility outcome rankings.",fisheries-management-measures-in-place-and-multilateral-and-bilateral-fisheries-management-arrangements greenhouse-gas-emissions-per-capita mean-sea-surface-temperature-anomalies mean-surface-temperature-anomalies meteorological-monitoring-network number-of-directly-affected-persons-attributed-to-disasters power-generation rainfall-anomalies sea-level-anomalies,,adaptation_capacity climate_signal observed_stress responsibility_context
