geo_code,adaptation_gap_rank,story_label,story_priority,pressure_capacity_typology,exemplar_flag,reason_label,pressure_capacity_summary,included_indicator_count,pressure_signal_count,capacity_signal_count,evidence_density_label,top_pressure_signals,top_capacity_signals,data_desert_flag,monitoring_missing,coverage_flag,robustness_label,rank_range,fragility_caveat,non_causal_caveat
TK,11,Mixed gap: low pressure / low capacity,secondary,low pressure / low capacity,False,low visible capacity,Pressure 23.3 vs capacity 14.7 (difference +8.5).,8,5,3,broad indicator evidence,Sea level anomalies (50.0); Rainfall anomalies (27.3),Power generation (5.6); Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (13.6),False,False,partial_dataset_coverage,fragile,12,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
MP,12,Mixed gap: moderate pressure / moderate capacity,secondary,moderate pressure / moderate capacity,False,mixed signals,Pressure 45.8 vs capacity 40.9 (difference +4.9).,7,5,1,moderate indicator evidence,Mean sea surface temperature anomalies (85.7); Mean surface temperature anomalies (81.8),Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (40.9),False,True,partial_dataset_coverage,fragile,9,"Small sample stress test; at least one leave-one-indicator scenario becomes insufficient, so rank movement frames uncertainty rather than a definitive ranking.",Descriptive screen only; labels summarize available indicators and are not causal claims.
VU,13,Mixed gap: moderate pressure / high capacity,context,moderate pressure / high capacity,False,mixed signals,Pressure 65.3 vs capacity 70.4 (difference -5.1).,9,5,3,broad indicator evidence,Sea level anomalies (100.0); Mean surface temperature anomalies (81.8),Power generation (50.0); Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (75.0),False,False,complete_dataset_coverage,fragile,7,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
WS,14,Mixed gap: moderate pressure / moderate capacity,context,moderate pressure / moderate capacity,False,mixed signals,Pressure 49.0 vs capacity 55.2 (difference -6.2).,9,5,3,broad indicator evidence,Rainfall anomalies (81.8); Sea level anomalies (50.0),Meteorological monitoring network (38.9); Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (54.5),False,False,complete_dataset_coverage,sensitive,3,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
KI,15,Lower gap: moderate pressure / moderate capacity,context,moderate pressure / moderate capacity,False,lower relative gap,Pressure 47.9 vs capacity 58.8 (difference -10.8).,9,5,3,broad indicator evidence,Rainfall anomalies (95.5); Number of directly affected persons attributed to disasters (57.1),Power generation (22.2); Meteorological monitoring network (72.2),False,False,complete_dataset_coverage,fragile,12,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
CK,16,Lower gap: low pressure / moderate capacity,context,low pressure / moderate capacity,False,lower relative gap,Pressure 30.2 vs capacity 42.7 (difference -12.5).,8,5,3,broad indicator evidence,Sea level anomalies (50.0); Rainfall anomalies (45.5),Power generation (27.8); Meteorological monitoring network (38.9),False,False,partial_dataset_coverage,fragile,10,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
TO,17,Lower gap: moderate pressure / high capacity,context,moderate pressure / high capacity,False,lower relative gap,Pressure 52.7 vs capacity 67.3 (difference -14.6).,9,5,3,broad indicator evidence,Rainfall anomalies (90.9); Mean surface temperature anomalies (56.8),Power generation (38.9); Meteorological monitoring network (72.2),False,False,complete_dataset_coverage,fragile,8,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
PG,18,Lower gap: high pressure / high capacity,context,high pressure / high capacity,False,high pressure,Pressure 76.7 vs capacity 93.5 (difference -16.8).,9,5,3,broad indicator evidence,Mean sea surface temperature anomalies (100.0); Mean surface temperature anomalies (100.0),Meteorological monitoring network (86.1); Power generation (94.4),False,False,complete_dataset_coverage,fragile,12,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
GU,19,Lower gap: moderate pressure / moderate capacity,secondary,moderate pressure / moderate capacity,True,lower relative gap,Pressure 38.4 vs capacity 58.1 (difference -19.7).,8,5,2,broad indicator evidence,Mean sea surface temperature anomalies (85.7); Mean surface temperature anomalies (81.8),Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (27.3); Power generation (88.9),False,True,partial_dataset_coverage,fragile,12,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
NC,20,Lower gap: moderate pressure / high capacity,context,moderate pressure / high capacity,True,lower relative gap,Pressure 47.3 vs capacity 72.6 (difference -25.3).,9,5,3,broad indicator evidence,Mean sea surface temperature anomalies (69.0); Mean surface temperature anomalies (65.9),Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (45.5); Meteorological monitoring network (72.2),False,False,complete_dataset_coverage,fragile,7,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
FJ,21,Lower gap: moderate pressure / high capacity,context,moderate pressure / high capacity,True,lower relative gap,Pressure 59.1 vs capacity 86.1 (difference -27.0).,9,5,3,broad indicator evidence,Number of directly affected persons attributed to disasters (71.4); Mean surface temperature anomalies (65.9),Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (75.0); Power generation (83.3),False,False,complete_dataset_coverage,fragile,6,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
PF,22,Lower gap: low pressure / moderate capacity,context,low pressure / moderate capacity,True,lower relative gap,Pressure 29.7 vs capacity 65.0 (difference -35.3).,9,5,3,broad indicator evidence,Mean sea surface temperature anomalies (52.4); Sea level anomalies (50.0),Fisheries management measures in place and multilateral and bilateral fisheries management arrangements (22.7); Power generation (77.8),False,False,complete_dataset_coverage,sensitive,3,Small sample stress test; rank movement frames uncertainty and should not be read as a definitive ranking.,Descriptive screen only; labels summarize available indicators and are not causal claims.
